text,label
"Absolutely loved this book, beautifully written!",0
"The story was boring and predictable.",0
"Amazing quality, fast delivery!",0
"Terrible book, don't waste your money.",0
"Buy this now!!! Best deal ever!!! Visit my profile!",1
"Click this link for free gifts!!!",1
"This review is sponsored, please buy it now!",1
"Great storytelling, I enjoyed every chapter.",0
"Very emotional and wonderfully crafted.",0
"I didn't enjoy this book at all.",0
"Fake item!!! Scam!!! Avoid!!!",1
"Perfect for beginners, very informative.",0
"The author has no idea what they are doing.",0
"This is the worst book ever published.",0
"Buy 3 and get 10 free!!! Hurry!!!",1
"Nice book but slow in the middle.",0
"I finished it in one day, amazing!",0
"100% fake product! Reporting this!",1
"Works better than I expected!",0
"Very helpful and easy to understand.",0
"Limited-time offer!!! Buy now!!!!",1
"Spreads misinformation, very biased.",0
"Really enjoyed reading this before bed.",0
"Terrible, looks like AI wrote this.",0
"Visit my website for more deals!",1
"Highly recommended, great value.",0
"Not worth the money.",0
"Scam alert!!!! Don't buy this!",1
"Fantastic writing style.",0
"Superb and engaging from start to finish.",0
"Totally fake review!!!",1
"Love this author, will buy more!",0
"Poor printing quality.",0
"Spam content!!! Fake fake fake!",1
"A relaxing weekend read.",0
"Awful experience, packaging was damaged.",0
"Best book I've bought all year!",0
"Promotional review, not real!",1
"Buy this book if you want to get rich fast!!!",1
"I expected more from this book.",0
"Enjoyed the character development.",0
"Repeated content, not original.",0
"Fake review detected!!!",1
"High-quality content, well researched.",0
"Very engaging, couldn't stop reading.",0
"Do not purchase! Total scam!",1
"The plot twist was unbelievable!",0
"This author never disappoints.",0
"Get discounts here!!! www.fakepromo.com",1
"The story felt rushed but enjoyable.",0
"I learned a lot from this book.",0
"Bad writing and grammar mistakes everywhere.",0
"Earn money fast by clicking this link!!!",1
"A masterpiece! Strongly recommended.",0
"Did not like the characters.",0
"BUY NOW!!! LIMITED STOCK!!!",1
"Too short, expected more depth.",0
"A nice gift for book lovers.",0
"This review is fake!!!",1
"One of the best books I’ve ever read.",0
"Solid book with good lessons.",0
"Horribly written, not worth reading.",0
"Click here for free coupons!!!",1
"I got this for my sister and she loved it!",0
"Total waste of time.",0
"Suspicious product, feels fake.",1
"A truly inspiring story.",0
"I'm impressed with the storytelling.",0
"Spam ads everywhere!!",1
"Not as good as I hoped.",0
"Wonderful illustrations!",0
"Fake promotion disguised as review!",1
"I recommend this to all my friends.",0
"Inconsistent writing quality.",0
"BUY BUY BUY!!! Don't miss out!!!",1
"Very touching and emotional.",0
"Very shallow content, disappointing.",0
"Sponsored post!!! Buy now!!",1
"Great for young readers.",0
"Exceeded my expectations!",0
"Fake fake fake!!!!",1
"A must-read for everyone.",0
"Simple but effective writing.",0
"Awful formatting, unreadable.",0
"Promo deal!!! Click to buy!!!",1
"Unique story and great flow.",0
"Would read again!",0
"Scam!!! Fraud!!! Don’t trust this!!!",1
"Perfect for a holiday read.",0
"Best story I’ve read all month.",0
"Too repetitive and boring.",0
"Check out my channel for deals!",1
"A heartfelt and beautiful book.",0
"Strong character development.",0
"Terrible product!!! Fake!!",1
"A charming read for evenings.",0
"Pacing was slow but still enjoyable.",0
"Another scam disguised as review!!!",1
"Thought-provoking and engaging.",0
"Very creative storyline.",0
"Fake offer included in review!",1
"A delightful experience overall.",0
"Great writing and strong message.",0
"Misleading description!!!",1
"Very inspiring and uplifting.",0
"Characters lacked realism.",0
"Free stuff here!!! Click now!!!",1
"A truly beautiful piece of work.",0
"Engaging from page one.",0
"Fake seller!!!!",1
"Wonderful storytelling!",0
"Highly motivational.",0
"Worst experience ever!!!",0
"Check my bio for offers!!!",1
"Well-structured and clear.",0
"Loved all the characters.",0
"This is a SCAM!!! Don't buy!",1
"Very calming to read.",0
"Nicely detailed world-building.",0
"Buy from my store instead!!",1
"Interesting perspective.",0
"Good pacing and structure.",0
"BUY IT NOW!!!",1
"Heartwarming and refreshing.",0
"Great cover design!",0
"Spammy advertisement disguised as review.",1
"Deep and meaningful story.",0
"Not my type but still decent.",0
"Earn $500 daily with this book!!!",1
"Thrilling plot with good twists.",0
"Beautiful themes explored.",0
"Fake discount!!! Don't fall for it!",1
"Will buy again from this author.",0
"Thought it would be better.",0
"Another FAKE review!",1
"Great book for students.",0
"Clear and informative.",0
"This is a sponsored fake review!",1
"Helpful and well organized.",0
"Super emotional ending.",0
"Scam — they pay for reviews!!",1
"Fantastic illustrations!",0
"Very fun to read.",0
"BUY NOW FOR FREE BONUS!!!",1
"A deep and touching narrative.",0
"Strong themes and good morals.",0
"Fake claims everywhere!!!",1
"Highly enjoyable!",0
"Nice for casual reading.",0
"Click here for FREE money!",1
"Intense and gripping!",0
"Beautifully crafted chapters.",0
"Don't trust this item — scam!",1
"Perfect weekend read.",0
"Highly entertaining!",0
"Promotional garbage!",1
"Superb writing!",0
"Full of insight and wisdom.",0
"Too many ads inside the book!",0
"Best investment I've made in books!",0
"Spam fake discount link!!!",1
"Wonderful and emotional.",0
"Very eye-opening.",0
"Scam-like product!",1
"Brilliant writing skill!",0
"Good for beginners.",0
"Fake misleading information!",1
"Very helpful content.",0
"Love the pacing!",0
"Click for free offers!",1
"Amazing and powerful!",0
"Super detailed and rich!",0
"Manipulated review—paid!!!",1
"Good for quick reading.",0
"Rich content with depth.",0
"Spam advertisement again!",1
"Excellent research!",0
"Great gift option.",0
"Fake discount promotion!",1
"Beautiful plot execution.",0
"Solid and consistent writing.",0
"Avoid — FAKE review detected!",1
"Meaningful and impactful.",0
"Good story, well told.",0
"Misleading review!!!",1
"One of my favorite books!",0
"Detailed and thoughtful.",0
"Scam giveaway link!!!",1
